REF_AREA,Reference area,Measure,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,OBS_VALUE
AUT,Austria,Primary waste generated,Tonnes,C,Manufacturing,2012,3494.592
DNK,Denmark,Primary waste generated,Tonnes,C,Manufacturing,2012,1362.847
GBR,United Kingdom,Primary waste generated,Tonnes,C,Manufacturing,2012,11497.04
BEL,Belgium,Primary waste generated,Tonnes,C,Manufacturing,2012,12935.57
ESP,Spain,Primary waste generated,Tonnes,C,Manufacturing,2012,14418.2
KOR,Korea,Primary waste generated,Tonnes,C,Manufacturing,2012,39498.763
KOR,Korea,Primary waste generated,Tonnes,C,Manufacturing,2013,38696.9393
DNK,Denmark,Primary waste generated,Tonnes,C,Manufacturing,2014,1070.557
AUT,Austria,Primary waste generated,Tonnes,C,Manufacturing,2014,5349.41
GBR,United Kingdom,Primary waste generated,Tonnes,C,Manufacturing,2014,10434.83
BEL,Belgium,Primary waste generated,Tonnes,C,Manufacturing,2014,13952.18
ESP,Spain,Primary waste generated,Tonnes,C,Manufacturing,2014,14672.54
TUR,Türkiye,Primary waste generated,Tonnes,C,Manufacturing,2014,14336.08
KOR,Korea,Primary waste generated,Tonnes,C,Manufacturing,2014,37937.47208
KOR,Korea,Primary waste generated,Tonnes,C,Manufacturing,2015,37012.67586
GBR,United Kingdom,Primary waste generated,Tonnes,C,Manufacturing,2016,11139.82
TUR,Türkiye,Primary waste generated,Tonnes,C,Manufacturing,2016,13186.43
ESP,Spain,Primary waste generated,Tonnes,C,Manufacturing,2016,14134.31
BEL,Belgium,Primary waste generated,Tonnes,C,Manufacturing,2016,14321.89
DNK,Denmark,Primary waste generated,Tonnes,C,Manufacturing,2016,997.731
KOR,Korea,Primary waste generated,Tonnes,C,Manufacturing,2016,39179.44553
KOR,Korea,Primary waste generated,Tonnes,C,Manufacturing,2017,39526.56121
ESP,Spain,Primary waste generated,Tonnes,C,Manufacturing,2018,13535.71
GBR,United Kingdom,Primary waste generated,Tonnes,C,Manufacturing,2018,11205.45
DNK,Denmark,Primary waste generated,Tonnes,C,Manufacturing,2018,993.322
AUT,Austria,Primary waste generated,Tonnes,C,Manufacturing,2018,5660.615
BEL,Belgium,Primary waste generated,Tonnes,C,Manufacturing,2018,16383.97
KOR,Korea,Primary waste generated,Tonnes,C,Manufacturing,2018,39501.53428
KOR,Korea,Primary waste generated,Tonnes,C,Manufacturing,2019,47995.2665
ESP,Spain,Primary waste generated,Tonnes,C,Manufacturing,2020,12961.9
AUT,Austria,Primary waste generated,Tonnes,C,Manufacturing,2020,5076.609
DNK,Denmark,Primary waste generated,Tonnes,C,Manufacturing,2020,1084.369
TUR,Türkiye,Primary waste generated,Tonnes,C,Manufacturing,2020,20103.73
KOR,Korea,Primary waste generated,Tonnes,C,Manufacturing,2020,54203.9319
BEL,Belgium,Primary waste generated,Tonnes,C,Manufacturing,2020,13862.26

